Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
21	230	427	9394	irshepetslantris	2058	22.595
21	240	488	10736	pesrratetiniesal	2099	30.75
21	250	604	13288	aiessprtoeasldel	1816	34.394
21	260	1117	24574	rtspiealdreiistn	2336	66.862
21	270	1233	27126	drassentlitepars	3037	76.645
21	280	696	15312	spldeaietrnssiet	3073	42.722
21	290	496	10912	deptrarsteiestnd	2390	30.981
22	10	26	598	rsneeitetclsyahe	1107	1.214
22	20	59	1357	rabsestlpiredess	1223	2.91
22	30	132	3036	asrdrtealetlbasi	1827	7.344
22	40	350	8050	speserattsidonep	2167	20.621
22	50	216	4968	ptniaetdrsieotsr	1851	11.695
22	60	271	6233	nsesireletapdsts	1991	16.045
22	70	218	5014	mlnsaoiestrmisea	1707	12.246
22	80	440	10120	laesdntrseiarpls	2988	25.772
22	90	253	5819	iernntsosairrled	1676	13.469
22	100	335	7705	osndrteiertpsias	2155	20.898
22	110	284	6532	pinseltereasscru	1706	15.523
22	120	297	6831	nirdsaetmtnsaier	1807	17.121
22	130	207	4761	onedirosetamsnel	1754	11.124
22	140	408	9384	dplsmeiasarnctes	2261	23.14
22	150	202	4646	drphelispatehsrd	1924	10.125
22	160	451	10373	sresetaptnilaser	2968	30.235
22	170	461	10603	rsedentrtiaeslps	2918	27.873
22	180	517	11891	rstneleritadtsni	1776	29.612
22	190	736	16928	trecsnaletipsres	2969	47.43
22	200	472	10856	seusntrniaeilstd	2479	28.219
22	210	876	20148	atessnrleeiardts	2496	53.79
22	220	763	17549	rplcseaidrtnoies	3064	46.043
22	230	684	15732	sainrltseeiendvr	1897	37.833
22	240	454	10442	seralitsdaneserg	2884	28.592
22	250	928	21344	dsreietulasoperp	2362	56.833
22	260	719	16537	rtisserdlanepits	3086	44.813
22	270	1017	23391	lsertartcetodhsu	1978	54.535
22	280	1169	26887	hetecarsstigrena	2143	69.867
22	290	1413	32499	dnglseiarstrcouc	2229	75.147
23	10	14	336	anecflissatntseg	1040	0.727
23	20	107	2568	ptdaaeslrilsotne	1311	5.371
23	30	203	4872	tedfsarsmelopidm	1767	10.764
23	40	165	3960	dirstevesartwels	1828	8.742
23	50	95	2280	sutoqtirsaeslert	1093	4.677
23	60	305	7320	iltssaeitsrdreno	1930	17.179
23	70	342	8208	dnsmgeiasrtltaes	2599	21.483
23	80	338	8112	sntseiarrtlesedp	2559	21.278
23	90	613	14712	mpsnlaieetrdsres	2676	36.505
23	100	240	5760	paersltsreindmpa	1975	13.454
23	110	348	8352	aestltrasitemanh	1922	21.448
23	120	439	10536	desontrleiaerstp	2528	28.97
23	130	373	8952	ilubtsarenesrdit	1838	21.192
23	140	405	9720	oesontrnsiaepets	1983	25.605
23	150	659	15816	stseretanelodips	2079	38.174
23	160	599	14376	destliresandctes	2632	36.596
23	170	558	13392	saildnrteierstas	1840	34.796
23	180	558	13392	ldngaiesrtsrceap	2492	34.489
23	190	490	11760	seagplntaiesstrd	2752	30.385
23	200	644	15456	bletoiasnrtpeseh	2381	39.349
23	210	934	22416	stneeiasprltsaed	2683	53.88
23	220	1240	29760	bltdeaietsrnates	2417	71.193
23	230	397	9528	vlpteeasdrteiesr	1989	25.639
23	240	923	22152	pestdlrpeiaegnts	2828	57.027
23	250	978	23472	stescrtneaiespld	3072	59.957
23	260	1129	27096	lpsdaierrtnasets	3053	73.285
23	270	929	22296	marsgiteenstsraw	2167	55.052
23	280	636	15264	rtsraieapdnssero	2387	40.108
23	290	1561	37464	speserattnicosed	2757	105.794
24	10	21	525	trsiinavateeorsh	1011	1.108
24	20	100	2500	gnmmseiaertsdpae	1852	6.058
24	30	111	2775	paocltrstetewasb	1235	5.924
24	40	120	3000	segbniladatecers	2061	6.998
24	50	175	4375	cesorantetiaselb	1607	9.745
24	60	178	4450	mercpatesinshong	2025	10.261
24	70	275	6875	htessengrilatase	1971	15.804
24	80	250	6250	epclsiaentrdeges	2305	14.223
24	90	443	11075	silsntaeierpdtso	2436	26.278
24	100	389	9725	gtesrntreaieplsd	3132	25.358
24	110	235	5875	etlssaieretrltso	1763	14.971
24	120	773	19325	tserrntseaieslpr	2759	48.288
24	130	621	15525	bmagelinatessrtd	2329	34.445
24	140	462	11550	secstarointusres	2145	27.851
24	150	503	12575	smgrdeaerntlsois	2316	30.285
24	160	567	14175	tndreiessratptoc	2204	35.324
24	170	334	8350	quinelatesershgru	1866	17.895
24	180	473	11825	stsrdeaeriltsots	2004	28.86
24	190	1521	38025	denscitelarssped	2814	102.739
24	200	798	19950	useirtndeaiepltr	2484	51.004
24	210	940	23500	sidrnreseatipsle	2022	59.747
24	220	623	15575	ledtsinetarscepu	2479	39.588
24	230	755	18875	scdslergpanesits	2900	46.165
24	240	930	23250	specelangritsnes	2967	59.653
24	250	718	17950	grphseastnitored	2119	45.445
24	260	1473	36825	rspleeiadntrsaes	3121	98.858
24	270	987	24675	alsdgretenarstil	2573	62.267
24	280	1204	30100	slpseiaerntrdese	3172	80.99
24	290	684	17100	srtsasenetidgram	2374	43.985
25	10	38	988	esttreroaetpdhas	1014	1.964
25	20	167	4342	herwtisetaltserp	1851	10.519
25	30	80	2080	aertdnsaeotemers	1468	4.445
25	40	88	2288	egelsnaditrohess	1484	4.665
25	50	74	1924	sgnfreiaeltesars	1632	4.201
25	60	290	7540	ossdrteriealsmps	2118	16.82
25	70	402	10452	tergstneeiasdrpl	2812	26.197
25	80	701	18226	spaserittnemisad	2628	43.453
25	90	327	8502	derssrtaaietlgns	2443	21.021
25	100	422	10972	oastbltefierdgns	2040	23.082
25	110	215	5590	steralsdbeiequtra	1490	11.852
25	120	312	8112	blnseaiestrsheto	2339	19.972
25	130	578	15028	dnseetimeralspes	2668	37.07
25	140	288	7488	niesortrtcaeeshd	1708	16.134
25	150	652	16952	crstieaepltnsais	2315	45.438
25	160	907	23582	odtsrnereiapstls	2751	62.135
25	170	483	12558	rdnseiatstreuons	2458	29.559
25	180	367	9542	dlpssaeochtrsies	1811	20.845
25	190	937	24362	sniletaptressnid	2796	60.334
25	200	970	25220	sporaresctedshal	2300	61.857
25	210	676	17576	paceserdntesiart	2011	43.431
25	220	1752	45552	sntreiaertlpsesa	2767	127.393
25	230	572	14872	sldraiesrtngeose	2484	37.028
25	240	832	21632	hslametrraesstnd	1821	50.657
25	250	560	14560	elosstaptirenest	2107	36.544
25	260	1203	31278	detrrlasstimaned	2108	76.402
25	270	542	14092	saettirsneparscl	2163	33.858
25	280	840	21840	dlpseaehtrcdesia	2276	54.751
25	290	927	24102	seastnrteaiedmls	2802	64.447
26	10	51	1377	mpltoieustnrreti	1268	2.981
26	20	46	1242	peevursdotintces	1095	2.482
26	30	104	2808	neturtsosertupag	1456	6.095
26	40	175	4725	sisrrtneeaitpdss	1922	11.447
26	50	137	3699	intpdleretasspte	1514	7.875
26	60	169	4563	soadlpreaiettnds	1968	10.774
26	70	398	10746	siesdntreiaelmpl	2551	26.209
26	80	295	7965	sridonetstasherp	2135	19.27
26	90	671	18117	sthsrecaealitspm	1970	42.142
26	100	246	6642	dtaeentrsiasellp	1880	16.063
26	110	213	5751	ecasstlreaiebrns	1999	13.507
26	120	690	18630	rplbseaitrntides	2968	44.54
26	130	440	11880	lestdirpneaeestl	2459	28.621
26	140	420	11340	seaintrdaiessprt	2278	30.416
26	150	931	25137	msreiatrlneiseds	2456	59.792
26	160	591	15957	ilndsaesetrpnioa	2075	37.342
26	170	335	9045	dlsteatsrierstni	1753	21.383
26	180	574	15498	sreieprdetaealsc	2035	35.558
26	190	536	14472	dlscetahtrinsegs	2245	30.651
26	200	826	22302	gesanirttalesems	2726	55.052
26	210	738	19926	rdegecnshatisero	1951	42.444
26	220	688	18576	prsdaeetltnrsiag	2714	51.31
26	230	710	19170	eseprtaloritsnes	2612	48.688
26	240	763	20601	seosrltreiaedgns	2701	49.669
26	250	742	20034	slsnlpieeardstes	2306	48.297
26	260	806	21762	gsiaentlraespgrd	2313	51.437
26	270	659	17793	rstheiaepldroses	2425	41.689
26	280	1327	35829	strsaieaplntsgas	2650	88.504
26	290	491	13257	pelssaiptnreiegs	2345	30.782
27	10	34	952	httnseaidbnseuge	933	1.442
27	20	96	2688	noctdarsletiesna	1647	6.079
27	30	85	2380	vnidoaehtrtsesit	1443	4.476
27	40	97	2716	estsiterdnabesim	1853	6.134
27	50	235	6580	tsilenateresstrd	2061	15.773
27	60	287	8036	setsdtrneaiespla	2388	19.663
27	70	213	5964	redotrgnsaesmeth	1616	13.163
27	80	257	7196	etspcnieaeltspas	1586	16.201
27	90	316	8848	relpdiasentrrsed	2828	20.211
27	100	402	11256	sevorilbdeassntr	1993	22.513
27	110	364	10192	reedsrtnucasoter	1778	24.352
27	120	467	13076	otsrrsieeatnptsa	2103	31.303
27	130	158	4424	ersttaehwilwnlos	1079	7.993
27	140	500	14000	paetcrtsseierndl	2205	34.496
27	150	499	13972	stesdripenalstes	3136	33.79
27	160	689	19292	rstderesetapsnil	2716	48.461
27	170	776	21728	rtsoserglanepits	2857	51.632
27	180	615	17220	blpsseatnrtsudeh	2144	37.287
27	190	632	17696	destnitagelprses	2226	41.967
27	200	480	13440	itedtnspaeiapsrt	1824	31.83
27	210	597	16716	toushcrtseaedlps	2356	38.226
27	220	637	17836	tdrssenalitemars	2740	43.039
27	230	705	19740	anediterslasreps	2499	51.331
